locus_tag	IF(rnaseq_ratio < 1.0, -1.0/rnaseq_ratio, rnaseq_ratio)	rnaseq_pvalue	IF(proteomics_ratio < 1.0, -1.0/proteomics_ratio, proteomics_ratio)	proteomics_pvalue
Mmol_0213	-4.55181095638939	0.277805106668141	-3.87909882910797	0.212132
Mmol_0214	-1.90974144949044	0.140747364572962	1.01053205071702	0.916969
Mmol_0215	-4.06349231348497	0.124214953722139	-2.30339663867838	0.0001494
Mmol_0216	-4.49925571565836	0.143284005270599	-7.08614724002819	0.0303275
Mmol_0217	1.46334252046396	0.421390925575648	-1.22067147253071	0.244201
Mmol_R0007	-2.45673146859724	0.596398761843411	NULL	NULL
Mmol_R0008	-1.00220482497183	0.998238964716627	NULL	NULL
Mmol_R0009	1.18963047001086	0.854653265451172	NULL	NULL
Mmol_0218	2.27901782076083	0.232073750700015	NULL	0
Mmol_0219	3.52878785153532	0.0319066769567716	NULL	0
Mmol_0220	-2.57961871287329	0.251062592130351	NULL	0
Mmol_0221	1.93684866538773	0.129078933479239	NULL	0
Mmol_0222	-1.25885332096448	0.473472335875986	-2.02757205879834	0.0456684
Mmol_0223	3.91972022677472	0.133234571423441	2.79546645062693	0.296218
Mmol_0224	4.25602399882398	0.0240188945038958	-1.91867715791279	0.0542301
Mmol_0225	-1.40727085088558	0.209426549197566	-1.32053454702768	0.358655
Mmol_0226	1.63354834473129	0.17102249529145	NULL	0
Mmol_0227	1.19677596593642	0.760588226119774	-1.5994159091226	0.274843
Mmol_0228	1.86313947748177	0.479182805798216	NULL	0
Mmol_0229	1.43113145055925	0.152004584227755	-4.18130026477811	0.0435937
Mmol_0230	3.90915169335194	0.350443094477928	NULL	0
Mmol_0231	7.10112391146052	0.487179335684967	NULL	0
Mmol_0232	2.88369690172816	0.0931265569281707	-1.28946280875614	0.0540656
Mmol_0233	3.01305785877072	0.296642238632823	3.56694424152374	0.316331
Mmol_0234	2.58316279734836	0.379301681284169	NULL	0
Mmol_0235	2.05610173049354	0.269572434785002	NULL	0
Mmol_0236	2.0787744930189	0.0885689768076079	NULL	0
Mmol_0237	1.43585436116758	0.30305053101662	NULL	0
Mmol_0238	-18.4770405186187	0.286662405895275	1.05515438745756	0.813475
Mmol_0239	1.26087208427632	0.596894278980098	18.0873053668874	0.0309181
Mmol_0240	-3.36781899701953	0.00431057525356164	2.35623674856922	0.0142381
Mmol_0241	-2.82038429251177	0.168755338591308	NULL	0
Mmol_0242	2.27061624183795	0.225080300487871	1.42099316135321	0.249187
Mmol_0243	1.62620910983385	0.594338477420607	-1.51060623972289	0.328664
Mmol_0244	1.11417026056354	0.815959829330969	2.18336295359051	0.00744156
Mmol_0245	-1.22077193490654	0.74362174482409	NULL	0
